date,iso_a3,country_number,currency_code,name,local_price,dollar_price,dollar_ex,usa_price,dollar_ex_implied,over_under_valued
2004-05-01,UKR,804,UAH,Ukraine,7.25,1.35984244584076,5.3315,2.47,2.935222672064777,-44.94564996596123
2004-05-01,URY,858,UYU,Uruguay,29.8,1.00218597612241,29.735,2.47,12.064777327935222,-59.425668982898195
2005-06-01,ARG,32,ARS,Argentina,4.75,1.6396272005523,2.897,2.58,1.8410852713178294,-36.44855811812808
2005-06-01,AUS,36,AUD,Australia,3.25,2.49711870918171,1.3015,2.58,1.2596899224806202,-3.2124531324917327
2005-06-01,BRA,76,BRL,Brazil,5.9,2.39370334307043,2.4648,2.58,2.2868217054263567,-7.220800656184812
2005-06-01,GBR,826,GBP,Britain,1.88,3.44040000271792,0.546448087,2.58,0.7286821705426356,33.34883731464788
2005-06-01,CAN,124,CAD,Canada,3.28,2.62526012485993,1.2494,2.58,1.2713178294573642,1.75426840542372
2005-06-01,CHL,152,CLP,Chile,1500.0,2.53185922862689,592.45,2.58,581.3953488372093,-1.8659213710508382
2005-06-01,CHN,156,CNY,China,10.5,1.26866753661012,8.2764,2.58,4.069767441860465,-50.82683966627442
2005-06-01,CZE,203,CZK,Czech Republic,56.42,2.29901918837532,24.5409,2.58,21.868217054263567,-10.890729132739363
2005-06-01,DNK,208,DKK,Denmark,27.75,4.57565914224941,6.0647,2.58,10.755813953488373,77.35112954455079
2005-06-01,HKG,344,HKD,Hong Kong,12.0,1.54227768709756,7.7807,2.58,4.651162790697675,-40.22179507373791
2005-06-01,HUN,348,HUF,Hungary,530.0,2.6025937547571,203.643,2.58,205.42635658914728,0.8757269285697422
2005-06-01,IDN,360,IDR,Indonesia,14600.0,1.5295966474594,9545.0,2.58,5658.914728682171,-40.71330823800764
2005-06-01,JPN,392,JPY,Japan,250.0,2.34268846928735,106.715,2.58,96.89922480620154,-9.198121345451394
2005-06-01,MYS,458,MYR,Malaysia,5.25,1.38157894736842,3.8,2.58,2.0348837209302326,-46.45042839657282
2005-06-01,MEX,484,MXN,Mexico,28.0,2.57648953301127,10.8675,2.58,10.852713178294573,-0.13606461196619124
2005-06-01,NZL,554,NZD,New Zealand,4.45,3.17335805462455,1.4023,2.58,1.7248062015503876,22.99837421025368
2005-06-01,POL,616,PLN,Poland,6.5,1.96398356296833,3.3096,2.58,2.5193798449612403,-23.876606086498665
2005-06-01,RUS,643,RUB,Russia,42.0,1.47858689338332,28.4055,2.58,16.27906976744186,-42.69043048901846
2005-06-01,SGP,702,SGD,Singapore,3.6,2.16776058288673,1.6607,2.58,1.3953488372093024,-15.978271981134318
