Date,Value
2021-10-31,102.5
2021-11-30,102.5
2021-12-31,102.4
2022-01-31,102.6
2022-02-28,103.3
2022-03-31,103.8
2022-04-30,104.2
2022-05-31,104.9
2022-06-30,105.4
2022-07-31,105.4
2022-08-31,105.7
2022-09-30,105.5
2022-10-31,105.5
2022-11-30,105.5
2022-12-31,105.3
2023-01-31,105.9
2023-02-28,106.7
2023-03-31,106.9
2023-04-30,106.9
